                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8677,                 9.9525,                 2.7158,                0.00266,                  0.375,                0.04618,                 0.0066,                 2.9741,                  8.392,                 1.4395,              0.0001666,              0.0001666,              0.0001666
                      2,                 2.6164,                 7.7894,                  1.359,                0.00264,                0.45312,                0.04652,                0.00952,                 2.2765,                 7.2043,                 1.2002,             0.00030772,             0.00030772,             0.00030772
                      3,                 2.2468,                 6.3926,                 1.2214,                0.00276,                0.71875,                0.16056,                0.05111,                 2.0046,                 6.1296,                  1.146,              0.0004142,              0.0004142,              0.0004142
                      4,                 2.0798,                 5.3994,                 1.2118,                  0.875,                0.09047,                0.31697,                0.13573,                 2.0798,                 4.9406,                 1.2529,             0.00048605,             0.00048605,             0.00048605
                      5,                 2.0383,                 4.9684,                 1.2576,                0.78297,                0.28293,                0.47948,                0.20757,                 2.1133,                 4.5677,                 1.2673,             0.00050313,             0.00050313,             0.00050313
                      6,                 2.0127,                 4.5063,                 1.1995,                0.71082,                0.48398,                0.53315,                0.24122,                 2.0009,                 3.9915,                 1.2491,             0.00050313,             0.00050313,             0.00050313
                      7,                 1.9551,                 4.1457,                 1.1932,                0.77137,                0.64861,                 0.6221,                0.30632,                  1.895,                 3.8424,                 1.1875,             0.00042066,             0.00042066,             0.00042066
                      8,                  1.843,                 3.6481,                 1.1654,                0.82928,                0.65011,                0.68028,                0.33379,                 1.9286,                 3.2523,                 1.1964,              0.0003382,              0.0003382,              0.0003382
                      9,                 1.8395,                 3.6539,                 1.1496,                0.90526,                0.64267,                0.68991,                0.34622,                 1.8851,                 3.1829,                 1.1821,             0.00025573,             0.00025573,             0.00025573
                     10,                  1.698,                 3.4162,                 1.0869,                0.90709,                0.65625,                0.68929,                0.35732,                 1.8928,                 3.0383,                 1.1756,             0.00017326,             0.00017326,             0.00017326
