                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2035,                 7.8072,                 1.7588,                0.00264,                0.70312,                0.15038,                0.07331,                 2.1927,                 6.7987,                 1.1454,             0.00027304,             0.00027304,             0.00027304
                      2,                 2.1848,                 4.6187,                 1.1549,                0.78112,                0.40903,                0.55914,                0.24109,                 1.9642,                 4.3603,                 1.1685,             0.00054798,             0.00054798,             0.00054798
                      3,                 1.9662,                 3.4943,                 1.1404,                0.79698,                 0.6714,                0.75123,                 0.3321,                 1.8316,                 3.2393,                 1.1517,             0.00082017,             0.00082017,             0.00082017
                      4,                 1.9011,                 2.8894,                 1.1379,                0.84224,                0.74165,                0.78102,                0.37038,                 1.8009,                 2.5495,                 1.1329,             0.00082063,             0.00082063,             0.00082063
                      5,                 1.8283,                 2.3537,                 1.0984,                0.80069,                0.87686,                0.89235,                0.41088,                 1.8548,                 2.1112,                 1.1357,             0.00082063,             0.00082063,             0.00082063
                      6,                 1.7889,                 2.0118,                 1.1084,                0.77832,                0.89652,                0.92315,                0.43841,                 1.8156,                 1.9435,                 1.1302,             0.00081651,             0.00081651,             0.00081651
                      7,                 1.8089,                 1.8232,                 1.1105,                0.89559,                0.89175,                0.94127,                0.43819,                 1.7631,                 1.5906,                 1.1258,             0.00081238,             0.00081238,             0.00081238
                      8,                 1.7142,                 1.5769,                 1.0808,                0.93516,                0.97622,                0.98032,                0.45606,                 1.7625,                 1.4494,                 1.1027,             0.00080826,             0.00080826,             0.00080826
                      9,                 1.6921,                 1.4181,                 1.0852,                0.93326,                0.95097,                0.97411,                0.48067,                 1.7329,                 1.2782,                 1.1051,             0.00080414,             0.00080414,             0.00080414
                     10,                 1.6843,                 1.3059,                 1.0661,                 0.9615,                0.95195,                0.98929,                0.49567,                 1.6817,                 1.1903,                 1.0852,             0.00080001,             0.00080001,             0.00080001
                     11,                 1.6908,                 1.2396,                 1.0852,                0.96363,                0.97286,                0.99279,                0.50211,                 1.7016,                 1.1522,                 1.0878,             0.00079589,             0.00079589,             0.00079589
                     12,                 1.7179,                 1.2119,                 1.0999,                0.97202,                0.96094,                0.98093,                0.48229,                  1.763,                 1.1109,                 1.1033,             0.00079177,             0.00079177,             0.00079177
                     13,                 1.6647,                 1.1379,                 1.0698,                0.95379,                0.99045,                0.99286,                0.51593,                 1.6736,                 1.0204,                 1.0802,             0.00078764,             0.00078764,             0.00078764
                     14,                 1.6709,                 1.0839,                 1.0755,                0.95657,                0.98465,                0.98395,                0.49459,                 1.7172,                 1.0442,                 1.0954,             0.00078352,             0.00078352,             0.00078352
                     15,                 1.6301,                 1.0666,                 1.0523,                0.97024,                 0.9882,                0.99456,                0.49429,                 1.7001,                0.97571,                 1.0853,              0.0007794,              0.0007794,              0.0007794
                     16,                 1.6491,                 1.0336,                 1.0646,                0.97292,                0.99334,                  0.995,                0.51063,                 1.6404,                 0.9319,                 1.0759,             0.00077527,             0.00077527,             0.00077527
                     17,                 1.6214,                0.96496,                 1.0449,                0.97082,                0.97193,                0.98333,                0.51325,                 1.6416,                 0.9038,                 1.0644,             0.00077115,             0.00077115,             0.00077115
                     18,                 1.5927,                0.94133,                 1.0353,                0.96332,                0.96718,                0.98612,                0.50424,                 1.7435,                0.92116,                 1.0984,             0.00076703,             0.00076703,             0.00076703
                     19,                 1.6034,                0.95123,                 1.0553,                0.98375,                0.98912,                  0.995,                0.51361,                 1.6389,                0.87137,                 1.0635,              0.0007629,              0.0007629,              0.0007629
                     20,                 1.5917,                0.93605,                 1.0414,                0.97233,                 0.9768,                0.98522,                0.48306,                 1.7211,                0.87606,                 1.0823,             0.00075878,             0.00075878,             0.00075878
                     21,                 1.6456,                0.94282,                 1.0612,                0.98042,                0.98358,                0.98763,                0.52291,                 1.6556,                0.85325,                 1.0687,             0.00075466,             0.00075466,             0.00075466
                     22,                 1.5993,                0.92817,                 1.0515,                0.97403,                0.98087,                0.99272,                0.50652,                 1.6797,                0.82807,                 1.0626,             0.00075053,             0.00075053,             0.00075053
                     23,                 1.5779,                0.91121,                 1.0431,                0.98012,                0.98764,                0.99417,                0.49564,                 1.6949,                0.83219,                 1.0802,             0.00074641,             0.00074641,             0.00074641
                     24,                 1.5607,                0.89299,                 1.0344,                0.98777,                0.98893,                 0.9935,                0.50247,                 1.7149,                 0.8359,                 1.0802,             0.00074229,             0.00074229,             0.00074229
                     25,                 1.5299,                0.84794,                 1.0282,                0.97957,                0.98886,                0.98828,                0.51509,                 1.6891,                0.76737,                  1.072,             0.00073816,             0.00073816,             0.00073816
                     26,                 1.5535,                0.84631,                 1.0281,                0.96699,                0.96914,                0.98206,                0.51112,                 1.7237,                 0.8148,                 1.0823,             0.00073404,             0.00073404,             0.00073404
                     27,                  1.567,                0.82276,                 1.0364,                0.97887,                0.99004,                 0.9886,                0.52227,                 1.6744,                0.75764,                 1.0604,             0.00072992,             0.00072992,             0.00072992
                     28,                 1.5494,                0.83006,                 1.0236,                  0.988,                0.99417,                  0.995,                0.51331,                 1.7312,                0.76609,                  1.078,             0.00072579,             0.00072579,             0.00072579
                     29,                 1.5242,                0.81243,                 1.0195,                0.98275,                0.98307,                  0.995,                 0.5156,                 1.6423,                0.78596,                 1.0568,             0.00072167,             0.00072167,             0.00072167
                     30,                 1.5746,                0.83013,                 1.0343,                0.98743,                  0.999,                  0.995,                0.53583,                 1.6702,                0.77624,                 1.0649,             0.00071755,             0.00071755,             0.00071755
                     31,                 1.5416,                0.80927,                 1.0136,                0.98514,                0.98905,                  0.995,                0.51771,                 1.6588,                0.78253,                 1.0595,             0.00071342,             0.00071342,             0.00071342
                     32,                 1.5337,                0.78314,                 1.0167,                0.98102,                0.98895,                 0.9935,                0.54929,                 1.6687,                0.77151,                 1.0556,              0.0007093,              0.0007093,              0.0007093
                     33,                 1.5446,                0.82806,                 1.0307,                0.96753,                 0.9879,                  0.995,                0.52341,                 1.6992,                0.77037,                 1.0732,             0.00070518,             0.00070518,             0.00070518
                     34,                 1.5485,                0.79606,                 1.0218,                0.98786,                      1,                  0.995,                0.54544,                 1.5992,                0.71058,                 1.0429,             0.00070105,             0.00070105,             0.00070105
                     35,                 1.5285,                 0.7761,                 1.0172,                0.98758,                0.98628,                0.99382,                0.52053,                 1.6991,                0.73342,                 1.0744,             0.00069693,             0.00069693,             0.00069693
                     36,                 1.5165,                0.78511,                 1.0221,                0.95386,                0.98318,                0.98964,                0.50917,                 1.6843,                0.76373,                 1.0732,             0.00069281,             0.00069281,             0.00069281
                     37,                 1.5016,                0.78659,                 1.0293,                0.97859,                 0.9966,                  0.995,                0.54822,                 1.6637,                 0.7252,                 1.0621,             0.00068868,             0.00068868,             0.00068868
                     38,                 1.5271,                0.75558,                 1.0237,                0.98902,                0.99202,                  0.995,                0.53438,                 1.6721,                0.69927,                 1.0634,             0.00068456,             0.00068456,             0.00068456
                     39,                 1.5054,                0.75549,                 1.0155,                0.97936,                0.99487,                0.99456,                0.52081,                 1.6959,                0.74043,                 1.0698,             0.00068044,             0.00068044,             0.00068044
                     40,                 1.5287,                0.76373,                 1.0198,                0.98857,                0.99152,                  0.995,                0.54744,                 1.6425,                0.73413,                 1.0539,             0.00067631,             0.00067631,             0.00067631
